text,label
"Congratulations! You have won $1000. Click here to claim your reward now.",1
"Urgent! Verify your bank account immediately.",1
"Your account has been suspended. Login now.",1
"You have received a lottery prize. Click here.",1
"Free gift card waiting for you. Claim now!",1
"Your PayPal account needs verification.",1
"Update your password immediately to avoid suspension.",1
"Click here to confirm your identity.",1
"Exclusive offer! Limited time only.",1
"You have been selected for a cash reward.",1
"Meeting scheduled tomorrow at 10 AM.",0
"Please review the attached project report.",0
"Happy Birthday! Have a wonderful day.",0
"Lunch meeting has been moved to 1 PM.",0
"Team meeting will start at 2 PM.",0
"Project files have been uploaded successfully.",0
"Please submit your assignment before Friday.",0
"Thank you for your purchase.",0
"Invoice attached for your recent payment.",0
"Welcome to our company.",0
